Format Version,1.22,Take Name,Walk straight lateral  left ZY  2019-04-17 10.03.35 AM_007,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.06.09.769 上午,Total Frames in Take,937,Total Exported Frames,937,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3EF0,C3EF0,C3EF0,C3F40,C3F40,C3F40,C4280,C4280,C4280,C4310,C4310,C4310,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
36,0.3,77.729988,357.684021,251.086288,306.186768,369.14801,112.438538,303.753876,1142.707764,302.540894,178.365021,1100.737427,98.235992,,,,,,,,,,,,,,,,,,,
37,0.308333,77.628593,357.65921,251.112289,306.133881,369.171295,112.496246,303.543701,1142.705322,302.634033,178.120178,1100.763306,98.339127,,,,,,,,,,,,,,,,,,,
38,0.316667,77.521713,357.632416,251.136597,306.077576,369.194916,112.555283,303.329193,1142.695679,302.731567,177.865524,1100.794678,98.452095,,,,,,,,,,,,,,,,,,,
39,0.325,77.409515,357.603424,251.159164,306.017914,369.218811,112.615685,303.109619,1142.679199,302.833984,177.601074,1100.832397,98.575272,,,,,,,,,,,,,,,,,,,
40,0.333333,77.292259,357.572113,251.179962,305.954926,369.242828,112.677528,302.884399,1142.656982,302.941895,177.326889,1100.877319,98.709007,,,,,,,,,,,,,,,,,,,
41,0.341667,77.170265,357.538452,251.199127,305.888641,369.266754,112.740929,302.653168,1142.630493,303.056091,177.043015,1100.930542,98.853615,,,,,,,,,,,,,,,,,,,
42,0.35,77.043915,357.502594,251.216705,305.819122,369.290497,112.805992,302.415833,1142.601318,303.177551,176.749619,1100.993042,99.009384,,,,,,,,,,,,,,,,,,,
43,0.358333,76.913605,357.46463,251.233017,305.746338,369.313904,112.872887,302.172516,1142.571777,303.307434,176.446854,1101.065796,99.176544,,,,,,,,,,,,,,,,,,,
44,0.366667,76.779732,357.424927,251.248245,305.67041,369.336731,112.941803,301.92337,1142.543335,303.446625,176.135147,1101.149048,99.355255,,,,,,,,,,,,,,,,,,,
45,0.375,76.642693,357.383698,251.262695,305.591339,369.358826,113.012985,301.668549,1142.517334,303.595917,175.815125,1101.24353,99.545563,,,,,,,,,,,,,,,,,,,
46,0.383333,76.502846,357.341461,251.276642,305.509216,369.380066,113.08667,301.408142,1142.494141,303.75592,175.487747,1101.348755,99.747314,,,,,,,,,,,,,,,,,,,
