Format Version,1.22,Take Name,Turn right  90   HJ 2019-04-12 04.00.40 PM_040,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-12 04.36.25.344 下午,Total Frames in Take,626,Total Exported Frames,626,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3BD0,C3BD0,C3BD0,C3BF0,C3BF0,C3BF0,C3C00,C3C00,C3C00,C4320,C4320,C4320,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
34,0.283333,1088.858032,356.458374,1343.395508,1252.046631,1311.443726,1509.739746,1409.012085,357.145203,1355.693481,1280.530396,1291.968262,1239.111938,,,,,,,,,,,,,,,,,,,
35,0.291667,1088.838501,356.44751,1343.50769,1252.226685,1311.407349,1509.725586,1409.208862,357.079468,1355.597656,1280.614136,1292.001953,1239.106445,,,,,,,,,,,,,,,,,,,
36,0.3,1088.811646,356.434387,1343.623169,1252.402832,1311.366577,1509.720825,1409.400269,357.015991,1355.487549,1280.687012,1292.039551,1239.109619,,,,,,,,,,,,,,,,,,,
37,0.308333,1088.778198,356.418884,1343.742676,1252.574585,1311.321411,1509.725342,1409.584229,356.955414,1355.363037,1280.748535,1292.080811,1239.12146,,,,,,,,,,,,,,,,,,,
38,0.316667,1088.738403,356.401093,1343.866699,1252.741577,1311.271851,1509.739624,1409.759644,356.898315,1355.223877,1280.798096,1292.126099,1239.141968,,,,,,,,,,,,,,,,,,,
39,0.325,1088.693359,356.381042,1343.995972,1252.903564,1311.218262,1509.763428,1409.924927,356.844971,1355.070801,1280.835083,1292.175415,1239.171021,,,,,,,,,,,,,,,,,,,
40,0.333333,1088.643799,356.358704,1344.130859,1253.060303,1311.160645,1509.796997,1410.079224,356.795654,1354.904785,1280.859131,1292.229004,1239.208618,,,,,,,,,,,,,,,,,,,
41,0.341667,1088.59021,356.334076,1344.272461,1253.21167,1311.099487,1509.84021,1410.221558,356.750519,1354.727051,1280.869873,1292.287354,1239.254639,,,,,,,,,,,,,,,,,,,
42,0.35,1088.533813,356.30722,1344.421143,1253.357056,1311.035156,1509.893311,1410.351563,356.709534,1354.539429,1280.866577,1292.350342,1239.308838,,,,,,,,,,,,,,,,,,,
43,0.358333,1088.474854,356.278076,1344.577881,1253.496826,1310.967896,1509.956177,1410.468628,356.672699,1354.343506,1280.849365,1292.418091,1239.371094,,,,,,,,,,,,,,,,,,,
44,0.366667,1088.414429,356.246613,1344.74353,1253.630371,1310.898193,1510.028564,1410.572266,356.640137,1354.141724,1280.817505,1292.491089,1239.441284,,,,,,,,,,,,,,,,,,,
45,0.375,1088.352783,356.212921,1344.918091,1253.758179,1310.826294,1510.110962,1410.662598,356.611847,1353.935425,1280.770874,1292.56897,1239.519409,,,,,,,,,,,,,,,,,,,
46,0.383333,1088.290771,356.177002,1345.102295,1253.879761,1310.752808,1510.203247,1410.739624,356.588013,1353.726807,1280.709106,1292.651855,1239.60498,,,,,,,,,,,,,,,,,,,
47,0.391667,1088.228882,356.139069,1345.295898,1253.995361,1310.677612,1510.305542,1410.803467,356.568787,1353.517334,1280.63208,1292.739746,1239.697998,,,,,,,,,,,,,,,,,,,
48,0.4,1088.167114,356.099274,1345.498413,1254.104736,1310.601318,1510.417603,1410.854126,356.554382,1353.307861,1280.539673,1292.832275,1239.798584,,,,,,,,,,,,,,,,,,,
49,0.408333,1088.106201,356.057953,1345.708862,1254.207764,1310.523926,1510.539551,1410.892212,356.544891,1353.099731,1280.431641,1292.929199,1239.906494,,,,,,,,,,,,,,,,,,,
50,0.416667,1088.046265,356.015411,1345.925415,1254.304321,1310.445679,1510.671509,1410.918213,356.540314,1352.893433,1280.307983,1293.030029,1240.022217,,,,,,,,,,,,,,,,,,,
51,0.425,1087.987671,355.972015,1346.146362,1254.394043,1310.366577,1510.813354,1410.932617,356.540619,1352.689819,1280.169067,1293.134277,1240.145508,,,,,,,,,,,,,,,,,,,
52,0.433333,1087.930542,355.928253,1346.368774,1254.476807,1310.286987,1510.96521,1410.936157,356.545593,1352.48938,1280.014526,1293.241455,1240.276978,,,,,,,,,,,,,,,,,,,
