Format Version,1.22,Take Name,Turn left 180  LJL 2019-04-16 08.02.25 PM_004,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 08.03.33.621 下午,Total Frames in Take,961,Total Exported Frames,961,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3700,C3700,C3700,C3800,C3800,C3800,C3820,C3820,C3820,C3840,C3840,C3840,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
36,0.3,-1177.281372,1196.098389,1676.663452,-1027.817505,310.681763,1508.211792,-1329.247559,331.693329,1521.231079,-1158.702515,1201.061157,1425.614868,,,,,,,,,,,,,,,,,,,
37,0.308333,-1177.222412,1196.062744,1676.677368,-1027.828613,310.682129,1508.14209,-1329.18396,331.719086,1521.31897,-1158.872314,1201.107666,1425.606201,,,,,,,,,,,,,,,,,,,
38,0.316667,-1177.163696,1196.027222,1676.692139,-1027.839478,310.682251,1508.067017,-1329.118896,331.746185,1521.402954,-1159.045166,1201.154419,1425.60022,,,,,,,,,,,,,,,,,,,
39,0.325,-1177.106201,1195.992676,1676.708252,-1027.849854,310.682404,1507.987061,-1329.052612,331.774536,1521.483032,-1159.220703,1201.201904,1425.597046,,,,,,,,,,,,,,,,,,,
40,0.333333,-1177.051147,1195.959839,1676.726196,-1027.859741,310.682861,1507.902588,-1328.985474,331.804016,1521.55896,-1159.398682,1201.249634,1425.597168,,,,,,,,,,,,,,,,,,,
41,0.341667,-1176.99939,1195.929199,1676.746948,-1027.868652,310.683777,1507.814697,-1328.917725,331.834503,1521.630127,-1159.578979,1201.297241,1425.600708,,,,,,,,,,,,,,,,,,,
42,0.35,-1176.951538,1195.901367,1676.77063,-1027.876221,310.685242,1507.724121,-1328.849731,331.865814,1521.696167,-1159.761475,1201.344849,1425.608032,,,,,,,,,,,,,,,,,,,
43,0.358333,-1176.908569,1195.876953,1676.798096,-1027.88208,310.687164,1507.632324,-1328.78125,331.897797,1521.75647,-1159.945801,1201.391724,1425.619263,,,,,,,,,,,,,,,,,,,
44,0.366667,-1176.871216,1195.856323,1676.829834,-1027.88562,310.689423,1507.540527,-1328.713013,331.930237,1521.810303,-1160.131836,1201.437622,1425.634766,,,,,,,,,,,,,,,,,,,
45,0.375,-1176.839478,1195.839478,1676.866211,-1027.886475,310.691864,1507.450317,-1328.645142,331.962921,1521.857422,-1160.31958,1201.482056,1425.655029,,,,,,,,,,,,,,,,,,,
