Format Version,1.22,Take Name,walk straight forwar RHG 2019-04-15 07.33.32 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.35.00.133 下午,Total Frames in Take,1163,Total Exported Frames,1163,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,Trunk Front,Trunk Front,Trunk Front,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C8390,C8390,C8390,C83B0,C83B0,C83B0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
39,0.325,156.785782,348.555206,-218.71759,-163.221008,332.369507,-192.051834,7.396677,1289.200195,-287.639313,0.330619,1288.12561,-52.74379,,,,,,,,,,,,,,,,,,,
40,0.333333,156.788193,348.555481,-218.718445,-163.21785,332.372589,-192.053467,7.514061,1289.213745,-287.68866,0.318384,1288.120972,-52.785084,,,,,,,,,,,,,,,,,,,
41,0.341667,156.790756,348.556427,-218.720352,-163.215988,332.375244,-192.05188,7.631992,1289.228516,-287.738007,0.30869,1288.115479,-52.825611,,,,,,,,,,,,,,,,,,,
42,0.35,156.793579,348.557922,-218.723679,-163.215378,332.377533,-192.047012,7.749464,1289.243652,-287.787048,0.301568,1288.109375,-52.865475,,,,,,,,,,,,,,,,,,,
43,0.358333,156.7966,348.559692,-218.728821,-163.215851,332.379364,-192.039047,7.865229,1289.258179,-287.835541,0.297164,1288.102661,-52.90472,,,,,,,,,,,,,,,,,,,
44,0.366667,156.799805,348.561523,-218.736023,-163.217072,332.380859,-192.028351,7.978008,1289.27124,-287.883209,0.295628,1288.095337,-52.943306,,,,,,,,,,,,,,,,,,,
45,0.375,156.803085,348.563202,-218.745377,-163.218674,332.382019,-192.015411,8.086738,1289.282593,-287.929871,0.296967,1288.087646,-52.981121,,,,,,,,,,,,,,,,,,,
46,0.383333,156.806412,348.564545,-218.756866,-163.220261,332.382965,-192.000778,8.190755,1289.291626,-287.975494,0.300904,1288.079468,-53.018055,,,,,,,,,,,,,,,,,,,
47,0.391667,156.809875,348.565552,-218.770218,-163.221405,332.383911,-191.984924,8.289894,1289.298584,-288.020142,0.306794,1288.071411,-53.05402,,,,,,,,,,,,,,,,,,,
48,0.4,156.81366,348.566284,-218.78511,-163.221802,332.384979,-191.968246,8.384463,1289.303467,-288.063965,0.313607,1288.063232,-53.088982,,,,,,,,,,,,,,,,,,,
