Format Version,1.22,Take Name,Turn left 180 ZY 2019-04-17 10.19.24 AM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.19.28.994 上午,Total Frames in Take,1221,Total Exported Frames,1221,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C4E50,C4E50,C4E50,C4EA0,C4EA0,C4EA0,C4EB0,C4EB0,C4EB0,C4F30,C4F30,C4F30,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
60,0.5,-1022.423767,364.368042,1578.801758,-1144.169678,1144.547607,1734.401855,-1289.62915,355.006073,1578.699829,-1150.366089,1113.200928,1492.695679,,,,,,,,,,,,,,,,,,,
61,0.508333,-1022.408508,364.361359,1578.805054,-1144.142212,1144.538208,1734.418701,-1289.628296,355.005035,1578.712402,-1150.359741,1113.200317,1492.716309,,,,,,,,,,,,,,,,,,,
62,0.516667,-1022.394897,364.35556,1578.807617,-1144.114746,1144.528809,1734.435913,-1289.627441,355.003998,1578.72583,-1150.353638,1113.200439,1492.737061,,,,,,,,,,,,,,,,,,,
63,0.525,-1022.382751,364.3508,1578.809204,-1144.086914,1144.519531,1734.453491,-1289.626709,355.003021,1578.740234,-1150.347534,1113.20105,1492.75769,,,,,,,,,,,,,,,,,,,
64,0.533333,-1022.371887,364.347076,1578.809692,-1144.059204,1144.510254,1734.471191,-1289.626099,355.002014,1578.755371,-1150.341553,1113.202393,1492.77832,,,,,,,,,,,,,,,,,,,
65,0.541667,-1022.362854,364.344543,1578.808838,-1144.031372,1144.500854,1734.48938,-1289.625488,355.001038,1578.770996,-1150.335449,1113.204102,1492.79895,,,,,,,,,,,,,,,,,,,
66,0.55,-1022.356262,364.343323,1578.806152,-1144.003662,1144.491455,1734.507568,-1289.625,355.000092,1578.786865,-1150.328857,1113.206299,1492.819702,,,,,,,,,,,,,,,,,,,
67,0.558333,-1022.352356,364.343384,1578.801392,-1143.97583,1144.481812,1734.526001,-1289.624634,354.999054,1578.802612,-1150.322021,1113.20874,1492.840332,,,,,,,,,,,,,,,,,,,
68,0.566667,-1022.350769,364.344543,1578.794922,-1143.94812,1144.472168,1734.544678,-1289.624268,354.997986,1578.818237,-1150.314697,1113.211548,1492.860962,,,,,,,,,,,,,,,,,,,
69,0.575,-1022.351257,364.346405,1578.787231,-1143.920166,1144.462158,1734.563354,-1289.623779,354.996704,1578.833618,-1150.306763,1113.214478,1492.88147,,,,,,,,,,,,,,,,,,,
