Format Version,1.22,Take Name,walk straight forward ZY 2019-04-17 09.31.11 AM_007,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.00.21.041 上午,Total Frames in Take,964,Total Exported Frames,964,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,Unlabeled 1198,Unlabeled 1198,Unlabeled 1198,,,,,,,,,,,,,,,,,,,
,,C3EF0,C3EF0,C3EF0,C3F30,C3F30,C3F30,C3F40,C3F40,C3F40,C40B0,C40B0,C40B0,C40D0,C40D0,C40D0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
38,0.316667,-121.125702,359.631226,81.237823,22.228354,1142.576416,260.541382,146.831757,367.857758,105.723892,56.850002,1104.819092,22.714235,,,,,,,,,,,,,,,,,,,,,,
39,0.325,-121.233353,359.683563,81.195869,22.236862,1142.612915,260.754395,146.327042,367.064148,105.47493,56.782005,1104.876709,22.862278,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-121.367111,359.752563,81.159935,22.193619,1142.646729,260.950043,146.38855,367.137634,105.478867,56.741028,1104.950684,23.017668,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-121.432083,359.738922,81.098572,22.156635,1142.659546,261.125122,147.034668,368.01825,105.725174,56.661106,1104.995483,23.139977,,,,,,,,,,,,,,,,,,,,,,
42,0.35,-121.531624,359.761536,81.044098,22.140419,1142.664185,261.279785,147.063324,368.018341,105.66774,56.571259,1105.053955,23.267387,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,-121.656296,359.792725,80.978249,22.091955,1142.668823,261.420319,147.14447,368.074158,105.651047,56.449169,1105.129517,23.363501,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,-121.791702,359.867828,80.924515,22.041151,1142.643433,261.549133,146.610535,367.272247,105.319473,56.335396,1105.169922,23.48201,,,,,,,,,,,,,,,,,,,,,,
45,0.375,-121.858551,359.845062,80.799568,21.980005,1142.626465,261.667206,146.636276,367.308075,105.260361,56.186104,1105.210449,23.565226,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,-121.955063,359.881409,80.657555,21.923613,1142.580933,261.787201,146.663055,367.350769,105.151649,56.042583,1105.239014,23.643799,,,,,,,,,,,,,,,,,,,,,,
47,0.391667,-122.044098,359.913879,80.441902,21.863653,1142.557983,261.8815,146.695541,367.404907,105.008904,55.826424,1105.252563,23.704962,,,,,,,,,,,,,,,,,,,,,,
48,0.4,-122.161774,359.968048,80.1828,21.796923,1142.536255,261.967712,146.720474,367.441589,104.843651,55.63554,1105.293945,23.749649,,,,,,,,,,,,,,,,,,,,,,
