Format Version,1.22,Take Name,Turn right 90 2019-04-15 07.41.59 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.42.26.780 下午,Total Frames in Take,959,Total Exported Frames,959,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,,,,,,,,,,,,,,,,,,,
,,C85D0,C85D0,C85D0,C85F0,C85F0,C85F0,C8620,C8620,C8620,C8630,C8630,C8630,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
37,0.308333,1060.761108,335.876556,1349.294678,1271.074463,1293.848633,1211.704468,1244.139526,1289.812866,1446.074951,1388.341064,344.011383,1286.921997,,,,,,,,,,,,,,,,,,,
38,0.316667,1061.056519,335.687775,1349.981079,1270.838013,1293.843018,1211.889771,1243.935669,1289.709717,1446.245483,1388.292603,344.016541,1286.593994,,,,,,,,,,,,,,,,,,,
39,0.325,1061.363281,335.471771,1350.545898,1270.524902,1293.833618,1212.078003,1243.688965,1289.620605,1446.423584,1388.220581,344.031921,1286.290894,,,,,,,,,,,,,,,,,,,
40,0.333333,1061.674316,335.236237,1350.986328,1270.136353,1293.821411,1212.269531,1243.402832,1289.546631,1446.611328,1388.124878,344.055634,1286.016357,,,,,,,,,,,,,,,,,,,
41,0.341667,1061.9823,334.990906,1351.300049,1269.67395,1293.808716,1212.464355,1243.080078,1289.488525,1446.809937,1388.004395,344.086884,1285.773438,,,,,,,,,,,,,,,,,,,
42,0.35,1062.279419,334.746613,1351.485107,1269.140137,1293.797974,1212.662231,1242.722412,1289.447144,1447.019775,1387.858521,344.126709,1285.564697,,,,,,,,,,,,,,,,,,,
43,0.358333,1062.559082,334.514099,1351.540894,1268.537476,1293.792847,1212.862671,1242.331543,1289.423828,1447.240845,1387.685791,344.178345,1285.393188,,,,,,,,,,,,,,,,,,,
44,0.366667,1062.814087,334.304047,1351.466187,1267.869629,1293.797485,1213.065186,1241.908203,1289.419434,1447.472046,1387.485352,344.247528,1285.262207,,,,,,,,,,,,,,,,,,,
45,0.375,1063.037598,334.125824,1351.259888,1267.140869,1293.816162,1213.269165,1241.453125,1289.435181,1447.712036,1387.25647,344.340576,1285.174927,,,,,,,,,,,,,,,,,,,
46,0.383333,1063.224121,333.986237,1350.921631,1266.356079,1293.853394,1213.474121,1240.966797,1289.471558,1447.958984,1386.999512,344.461578,1285.133301,,,,,,,,,,,,,,,,,,,
