Format Version,1.22,Take Name,Walk straight lateral right LJL 2019-04-16 07.49.43 PM_005,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 07.53.56.328 下午,Total Frames in Take,912,Total Exported Frames,912,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,CA180,CA180,CA180,CA560,CA560,CA560,CA570,CA570,CA570,CA580,CA580,CA580,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
40,0.333333,158.868774,314.014679,5.916705,3.353422,1200.437988,184.798279,-164.884872,332.049438,45.181271,11.227645,1198.556519,-64.635254,,,,,,,,,,,,,,,,,,,
41,0.341667,158.858368,314.005249,5.863551,3.359632,1200.442505,184.70369,-164.905151,332.046997,45.118958,11.208435,1198.552612,-64.715332,,,,,,,,,,,,,,,,,,,
42,0.35,158.848602,313.99646,5.812017,3.363088,1200.447144,184.61084,-164.924561,332.044434,45.059097,11.190521,1198.550659,-64.793411,,,,,,,,,,,,,,,,,,,
43,0.358333,158.839539,313.988312,5.76217,3.363617,1200.451904,184.519257,-164.942871,332.041718,45.002365,11.17394,1198.550415,-64.869682,,,,,,,,,,,,,,,,,,,
44,0.366667,158.831207,313.980774,5.713941,3.361116,1200.456543,184.428436,-164.959854,332.038788,44.949085,11.158628,1198.55188,-64.944374,,,,,,,,,,,,,,,,,,,
45,0.375,158.823547,313.973846,5.66715,3.355562,1200.460938,184.337891,-164.975418,332.035614,44.899277,11.144432,1198.554688,-65.01786,,,,,,,,,,,,,,,,,,,
46,0.383333,158.816376,313.967316,5.621553,3.346991,1200.465088,184.247253,-164.989609,332.032135,44.852703,11.131134,1198.558716,-65.090683,,,,,,,,,,,,,,,,,,,
47,0.391667,158.80957,313.961121,5.57691,3.335477,1200.468506,184.15625,-165.002609,332.028381,44.808891,11.118497,1198.563721,-65.163452,,,,,,,,,,,,,,,,,,,
48,0.4,158.803024,313.955139,5.533045,3.321139,1200.471558,184.064758,-165.014664,332.024353,44.767239,11.106302,1198.56958,-65.23687,,,,,,,,,,,,,,,,,,,
49,0.408333,158.796768,313.949402,5.489861,3.304147,1200.473877,183.972717,-165.025986,332.019958,44.727097,11.094332,1198.575928,-65.311523,,,,,,,,,,,,,,,,,,,
50,0.416667,158.790741,313.943848,5.447356,3.284721,1200.475464,183.880234,-165.036789,332.015228,44.687855,11.082357,1198.583008,-65.387894,,,,,,,,,,,,,,,,,,,
51,0.425,158.784912,313.938416,5.405656,3.263113,1200.476563,183.787506,-165.047241,332.010223,44.648998,11.070159,1198.590088,-65.466293,,,,,,,,,,,,,,,,,,,
52,0.433333,158.779282,313.933105,5.364996,3.239549,1200.477051,183.694824,-165.057571,332.005005,44.610188,11.057523,1198.597046,-65.546829,,,,,,,,,,,,,,,,,,,
53,0.441667,158.773849,313.927887,5.325666,3.214216,1200.477173,183.602432,-165.067947,331.999756,44.571293,11.044249,1198.60376,-65.629486,,,,,,,,,,,,,,,,,,,
54,0.45,158.768631,313.92276,5.287984,3.187263,1200.477051,183.510544,-165.07843,331.994446,44.532322,11.030166,1198.610107,-65.714157,,,,,,,,,,,,,,,,,,,
55,0.458333,158.763565,313.917725,5.252265,3.15882,1200.476929,183.41922,-165.08905,331.989136,44.493355,11.015151,1198.615845,-65.800652,,,,,,,,,,,,,,,,,,,
56,0.466667,158.758759,313.91272,5.218824,3.12902,1200.476807,183.328598,-165.099731,331.983765,44.454506,10.999138,1198.620972,-65.888695,,,,,,,,,,,,,,,,,,,
57,0.475,158.754303,313.907806,5.187964,3.098006,1200.477051,183.238693,-165.110306,331.978363,44.415913,10.982108,1198.625366,-65.977966,,,,,,,,,,,,,,,,,,,
58,0.483333,158.750351,313.903046,5.159957,3.065923,1200.477539,183.149567,-165.120743,331.972748,44.377705,10.964094,1198.628906,-66.068062,,,,,,,,,,,,,,,,,,,
59,0.491667,158.747009,313.89856,5.134993,3.0329,1200.478516,183.061127,-165.130997,331.966949,44.339966,10.945181,1198.631714,-66.158592,,,,,,,,,,,,,,,,,,,
60,0.5,158.744354,313.89444,5.113125,2.999062,1200.479858,182.973282,-165.141174,331.960876,44.302795,10.925487,1198.633911,-66.249184,,,,,,,,,,,,,,,,,,,
61,0.508333,158.742416,313.890778,5.094239,2.964555,1200.481567,182.885895,-165.151382,331.954651,44.266308,10.90513,1198.635742,-66.339546,,,,,,,,,,,,,,,,,,,
62,0.516667,158.741165,313.887573,5.078068,2.929576,1200.483276,182.79895,-165.161743,331.948242,44.230644,10.884255,1198.637207,-66.42942,,,,,,,,,,,,,,,,,,,
63,0.525,158.740463,313.884796,5.064242,2.894378,1200.485107,182.712433,-165.172348,331.941772,44.195915,10.863028,1198.638672,-66.5186,,,,,,,,,,,,,,,,,,,
64,0.533333,158.740234,313.882446,5.052327,2.859226,1200.486816,182.62645,-165.183258,331.935181,44.162209,10.841599,1198.640137,-66.606926,,,,,,,,,,,,,,,,,,,
65,0.541667,158.740402,313.880432,5.041853,2.824331,1200.488159,182.541122,-165.194412,331.928436,44.129559,10.820072,1198.641479,-66.694283,,,,,,,,,,,,,,,,,,,
66,0.55,158.740906,313.878876,5.032336,2.789829,1200.489502,182.456512,-165.205673,331.921509,44.097988,10.79848,1198.643066,-66.780594,,,,,,,,,,,,,,,,,,,
67,0.558333,158.741684,313.877625,5.023278,2.755793,1200.490479,182.372742,-165.216904,331.914429,44.067566,10.776814,1198.644531,-66.865776,,,,,,,,,,,,,,,,,,,
68,0.566667,158.742615,313.876709,5.014171,2.72229,1200.491333,182.289932,-165.228043,331.907257,44.038391,10.755029,1198.646118,-66.949699,,,,,,,,,,,,,,,,,,,
69,0.575,158.743561,313.876068,5.004535,2.689427,1200.492065,182.208176,-165.239014,331.900055,44.010616,10.733063,1198.647339,-67.032227,,,,,,,,,,,,,,,,,,,
70,0.583333,158.744385,313.87558,4.993966,2.657339,1200.492554,182.127686,-165.249817,331.893005,43.98436,10.710828,1198.648193,-67.11319,,,,,,,,,,,,,,,,,,,
71,0.591667,158.744995,313.875153,4.982171,2.626151,1200.49292,182.048569,-165.260406,331.886047,43.959667,10.688218,1198.64856,-67.192436,,,,,,,,,,,,,,,,,,,
72,0.6,158.745483,313.874725,4.969001,2.595946,1200.49353,181.971008,-165.270691,331.879242,43.936508,10.665106,1198.648071,-67.269829,,,,,,,,,,,,,,,,,,,
73,0.608333,158.746017,313.874481,4.954443,2.566771,1200.494263,181.895172,-165.280548,331.87265,43.914814,10.64132,1198.646851,-67.345329,,,,,,,,,,,,,,,,,,,
74,0.616667,158.746811,313.874481,4.938581,2.53867,1200.495117,181.821198,-165.289978,331.866333,43.894508,10.616641,1198.644897,-67.4189,,,,,,,,,,,,,,,,,,,
75,0.625,158.747955,313.874878,4.92154,2.511714,1200.496338,181.749329,-165.298965,331.860474,43.875477,10.590815,1198.641846,-67.490578,,,,,,,,,,,,,,,,,,,
76,0.633333,158.749451,313.875549,4.903431,2.485996,1200.497925,181.679718,-165.307541,331.855225,43.857582,10.563598,1198.638306,-67.560371,,,,,,,,,,,,,,,,,,,
