Format Version,1.22,Take Name,Walk straight forward LJL 2019-04-16 07.49.43 PM_001,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 07.51.30.094 下午,Total Frames in Take,1048,Total Exported Frames,1048,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,CA050,CA050,CA050,CA180,CA180,CA180,CA460,CA460,CA460,CA480,CA480,CA480,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
58,0.483333,-161.067856,333.588196,77.252022,155.019058,315.326569,40.162086,3.566737,1200.133667,223.082901,0.448185,1201.025024,-26.750896,,,,,,,,,,,,,,,,,,,
59,0.491667,-161.054565,333.595947,77.236565,155.030945,315.317627,40.226402,3.524725,1200.122681,223.118515,0.597468,1201.01355,-26.699553,,,,,,,,,,,,,,,,,,,
60,0.5,-161.039703,333.603577,77.229156,155.04213,315.308167,40.296211,3.487212,1200.111694,223.168381,0.74405,1200.99292,-26.62874,,,,,,,,,,,,,,,,,,,
61,0.508333,-161.023468,333.61084,77.229553,155.052414,315.298004,40.37043,3.455149,1200.100952,223.233704,0.88712,1200.963623,-26.538528,,,,,,,,,,,,,,,,,,,
62,0.516667,-161.006012,333.617584,77.237587,155.061691,315.287048,40.448257,3.429496,1200.09082,223.315674,1.025924,1200.926147,-26.428846,,,,,,,,,,,,,,,,,,,
63,0.525,-160.987625,333.62384,77.253159,155.069901,315.275208,40.529179,3.41117,1200.081543,223.415405,1.159749,1200.881348,-26.299591,,,,,,,,,,,,,,,,,,,
64,0.533333,-160.968689,333.629578,77.276215,155.077072,315.262482,40.612976,3.401003,1200.07373,223.533768,1.288003,1200.829834,-26.150713,,,,,,,,,,,,,,,,,,,
65,0.541667,-160.949661,333.63504,77.306786,155.083359,315.249115,40.699677,3.39972,1200.067749,223.671295,1.410316,1200.772583,-25.982279,,,,,,,,,,,,,,,,,,,
66,0.55,-160.930954,333.640228,77.345032,155.089081,315.235474,40.789528,3.407913,1200.063721,223.828232,1.526577,1200.710205,-25.794542,,,,,,,,,,,,,,,,,,,
67,0.558333,-160.912979,333.645111,77.391304,155.09465,315.222137,40.882954,3.425995,1200.061646,224.004471,1.636943,1200.643799,-25.587997,,,,,,,,,,,,,,,,,,,
