Format Version,1.22,Take Name,walk straight forwar RHG 2019-04-15 07.33.32 PM_003,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.36.30.074 下午,Total Frames in Take,899,Total Exported Frames,899,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C83F0,C83F0,C83F0,C8410,C8410,C8410,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
70,0.583333,150.893158,348.190491,-201.597153,-162.50563,332.061584,-167.40921,-1.463339,1290.905151,-21.524946,9.289031,1286.384033,-258.257721,,,,,,,,,,,,,,,,,,,
71,0.591667,150.910324,348.180695,-201.588333,-162.484863,332.065277,-167.417038,-1.426413,1290.892456,-21.505119,9.351074,1286.372925,-258.230194,,,,,,,,,,,,,,,,,,,
72,0.6,150.928818,348.170898,-201.579224,-162.464203,332.068665,-167.422806,-1.392134,1290.879639,-21.487171,9.415754,1286.361206,-258.205414,,,,,,,,,,,,,,,,,,,
73,0.608333,150.948303,348.161407,-201.569672,-162.443924,332.071899,-167.426651,-1.359629,1290.866699,-21.471273,9.482974,1286.348999,-258.183502,,,,,,,,,,,,,,,,,,,
74,0.616667,150.968414,348.152405,-201.559601,-162.424347,332.075226,-167.428787,-1.328056,1290.854126,-21.457563,9.552601,1286.336426,-258.164459,,,,,,,,,,,,,,,,,,,
75,0.625,150.988754,348.144165,-201.549057,-162.405746,332.078918,-167.42955,-1.296689,1290.841919,-21.446146,9.624443,1286.323364,-258.148163,,,,,,,,,,,,,,,,,,,
76,0.633333,151.008972,348.136963,-201.538162,-162.388367,332.08316,-167.429352,-1.264949,1290.830566,-21.437073,9.69822,1286.309814,-258.13443,,,,,,,,,,,,,,,,,,,
77,0.641667,151.028824,348.131104,-201.527054,-162.37233,332.088043,-167.42865,-1.232405,1290.820313,-21.430336,9.773536,1286.295898,-258.122894,,,,,,,,,,,,,,,,,,,
78,0.65,151.048157,348.126831,-201.515915,-162.357697,332.093628,-167.427902,-1.198787,1290.811401,-21.425854,9.849905,1286.281494,-258.113159,,,,,,,,,,,,,,,,,,,
79,0.658333,151.066772,348.124268,-201.504837,-162.344513,332.099823,-167.427338,-1.16396,1290.803955,-21.423456,9.926834,1286.266602,-258.104645,,,,,,,,,,,,,,,,,,,
80,0.666667,151.084412,348.123352,-201.493942,-162.332809,332.106506,-167.427002,-1.127864,1290.797852,-21.42285,10.003904,1286.251099,-258.096924,,,,,,,,,,,,,,,,,,,
81,0.675,151.100784,348.123901,-201.483322,-162.322632,332.113464,-167.426636,-1.090481,1290.793335,-21.423645,10.080823,1286.234985,-258.089569,,,,,,,,,,,,,,,,,,,
82,0.683333,151.115601,348.125641,-201.473068,-162.314026,332.120544,-167.425781,-1.051903,1290.789795,-21.425411,10.157469,1286.218262,-258.082245,,,,,,,,,,,,,,,,,,,
83,0.691667,151.128708,348.128174,-201.463318,-162.307022,332.127472,-167.42392,-1.012348,1290.787476,-21.427759,10.233931,1286.201172,-258.074738,,,,,,,,,,,,,,,,,,,
84,0.7,151.140076,348.131165,-201.454071,-162.30162,332.134033,-167.420532,-0.972121,1290.785522,-21.430368,10.310461,1286.18335,-258.066956,,,,,,,,,,,,,,,,,,,
85,0.708333,151.149704,348.134369,-201.44545,-162.297821,332.140106,-167.415298,-0.931529,1290.783813,-21.43298,10.387366,1286.165405,-258.058899,,,,,,,,,,,,,,,,,,,
86,0.716667,151.157623,348.13736,-201.4375,-162.295639,332.145538,-167.407959,-0.890819,1290.781738,-21.435419,10.464924,1286.147217,-258.050751,,,,,,,,,,,,,,,,,,,
87,0.725,151.163849,348.139771,-201.430359,-162.295013,332.150146,-167.398483,-0.850157,1290.778931,-21.43758,10.543355,1286.129272,-258.042572,,,,,,,,,,,,,,,,,,,
88,0.733333,151.168457,348.141357,-201.424133,-162.295792,332.153839,-167.386948,-0.80967,1290.775024,-21.439396,10.622803,1286.111694,-258.034515,,,,,,,,,,,,,,,,,,,
89,0.741667,151.17157,348.141785,-201.418869,-162.297684,332.156433,-167.37355,-0.76948,1290.769897,-21.440796,10.703291,1286.094727,-258.026672,,,,,,,,,,,,,,,,,,,
90,0.75,151.173233,348.141083,-201.414566,-162.300522,332.157959,-167.358566,-0.729688,1290.763428,-21.441721,10.784695,1286.078735,-258.019073,,,,,,,,,,,,,,,,,,,
91,0.758333,151.173538,348.13913,-201.411224,-162.304138,332.1586,-167.3423,-0.690356,1290.755371,-21.442108,10.866796,1286.063965,-258.011719,,,,,,,,,,,,,,,,,,,
92,0.766667,151.172577,348.136139,-201.408585,-162.30838,332.158478,-167.325089,-0.651548,1290.746094,-21.441925,10.949352,1286.050537,-258.00473,,,,,,,,,,,,,,,,,,,
93,0.775,151.170517,348.132141,-201.406387,-162.313095,332.157776,-167.307312,-0.613353,1290.73584,-21.441164,11.032136,1286.038696,-257.998108,,,,,,,,,,,,,,,,,,,
94,0.783333,151.167587,348.12738,-201.404251,-162.318115,332.156494,-167.289322,-0.575882,1290.724854,-21.43985,11.114937,1286.028442,-257.992004,,,,,,,,,,,,,,,,,,,
95,0.791667,151.164108,348.122131,-201.401642,-162.323303,332.154846,-167.271515,-0.539298,1290.713501,-21.438047,11.197515,1286.019531,-257.986511,,,,,,,,,,,,,,,,,,,
96,0.8,151.160446,348.116608,-201.398071,-162.328552,332.152832,-167.254242,-0.503866,1290.702393,-21.435856,11.279552,1286.012085,-257.981781,,,,,,,,,,,,,,,,,,,
97,0.808333,151.156998,348.111053,-201.39299,-162.333878,332.150726,-167.237854,-0.469963,1290.691895,-21.43342,11.360642,1286.005737,-257.977875,,,,,,,,,,,,,,,,,,,
98,0.816667,151.154099,348.105743,-201.385864,-162.339264,332.148682,-167.222656,-0.438047,1290.682495,-21.430918,11.440312,1286.000244,-257.97467,,,,,,,,,,,,,,,,,,,
99,0.825,151.152054,348.1008,-201.376205,-162.344742,332.146881,-167.208984,-0.408583,1290.674683,-21.428535,11.518082,1285.995361,-257.972076,,,,,,,,,,,,,,,,,,,
100,0.833333,151.151093,348.096405,-201.363586,-162.350235,332.145447,-167.197281,-0.381977,1290.668579,-21.426477,11.593495,1285.990845,-257.969818,,,,,,,,,,,,,,,,,,,
101,0.841667,151.151321,348.092621,-201.347672,-162.355637,332.144501,-167.187927,-0.358516,1290.664185,-21.424969,11.666133,1285.98645,-257.967804,,,,,,,,,,,,,,,,,,,
102,0.85,151.152893,348.089539,-201.328125,-162.360825,332.144043,-167.181244,-0.338335,1290.661499,-21.424217,11.735598,1285.981934,-257.965942,,,,,,,,,,,,,,,,,,,
103,0.858333,151.156082,348.087158,-201.304794,-162.365738,332.144165,-167.177414,-0.321388,1290.660156,-21.424351,11.801527,1285.977173,-257.964355,,,,,,,,,,,,,,,,,,,
104,0.866667,151.161133,348.085419,-201.277557,-162.370239,332.144836,-167.176422,-0.307435,1290.659912,-21.425369,11.863605,1285.972168,-257.963135,,,,,,,,,,,,,,,,,,,
105,0.875,151.168335,348.08432,-201.246445,-162.374252,332.146027,-167.178162,-0.296042,1290.660645,-21.427128,11.921588,1285.966553,-257.962524,,,,,,,,,,,,,,,,,,,
106,0.883333,151.177856,348.083771,-201.211639,-162.377762,332.147644,-167.182251,-0.286654,1290.662109,-21.429392,11.975327,1285.960571,-257.962738,,,,,,,,,,,,,,,,,,,
107,0.891667,151.189728,348.083588,-201.173538,-162.380768,332.149628,-167.18837,-0.278733,1290.664063,-21.431906,12.024735,1285.953979,-257.963867,,,,,,,,,,,,,,,,,,,
108,0.9,151.203751,348.083649,-201.13269,-162.383331,332.151855,-167.196106,-0.271814,1290.666382,-21.434429,12.069743,1285.946899,-257.965973,,,,,,,,,,,,,,,,,,,
109,0.908333,151.219452,348.08371,-201.089722,-162.385544,332.154297,-167.204971,-0.265482,1290.668945,-21.436731,12.11029,1285.939087,-257.969116,,,,,,,,,,,,,,,,,,,
110,0.916667,151.23616,348.083466,-201.045471,-162.387405,332.156738,-167.214554,-0.25937,1290.671631,-21.438604,12.146338,1285.93103,-257.973083,,,,,,,,,,,,,,,,,,,
111,0.925,151.253113,348.082703,-201.00061,-162.388931,332.159058,-167.224503,-0.25324,1290.674316,-21.439898,12.17794,1285.922363,-257.977692,,,,,,,,,,,,,,,,,,,
112,0.933333,151.269608,348.08136,-200.955688,-162.390076,332.161011,-167.234406,-0.24701,1290.677124,-21.440525,12.205261,1285.913574,-257.982697,,,,,,,,,,,,,,,,,,,
113,0.941667,151.28508,348.079559,-200.911087,-162.390839,332.162384,-167.243973,-0.240706,1290.679932,-21.440453,12.228549,1285.904663,-257.987885,,,,,,,,,,,,,,,,,,,
114,0.95,151.299057,348.077545,-200.86702,-162.39119,332.163116,-167.252853,-0.234381,1290.682739,-21.439678,12.248088,1285.895752,-257.993103,,,,,,,,,,,,,,,,,,,
115,0.958333,151.311234,348.075531,-200.823685,-162.39122,332.163116,-167.260712,-0.228093,1290.686035,-21.438229,12.264175,1285.886841,-257.998352,,,,,,,,,,,,,,,,,,,
116,0.966667,151.32132,348.073822,-200.78125,-162.391083,332.162445,-167.267242,-0.221931,1290.689697,-21.436178,12.277106,1285.878296,-258.003662,,,,,,,,,,,,,,,,,,,
117,0.975,151.329254,348.072571,-200.739929,-162.390991,332.161133,-167.272308,-0.216078,1290.694092,-21.433693,12.28716,1285.870117,-258.009003,,,,,,,,,,,,,,,,,,,
118,0.983333,151.335037,348.071991,-200.699936,-162.39119,332.159332,-167.275757,-0.21081,1290.699463,-21.430969,12.294602,1285.862305,-258.014557,,,,,,,,,,,,,,,,,,,
119,0.991667,151.338867,348.072266,-200.661453,-162.391937,332.157196,-167.277618,-0.206393,1290.706055,-21.428186,12.299677,1285.85498,-258.020294,,,,,,,,,,,,,,,,,,,
120,1,151.341034,348.073547,-200.624619,-162.393494,332.154816,-167.277969,-0.203026,1290.713867,-21.425438,12.30261,1285.848022,-258.026154,,,,,,,,,,,,,,,,,,,
121,1.008333,151.341949,348.075958,-200.589569,-162.396133,332.152374,-167.276917,-0.200898,1290.723145,-21.422752,12.303644,1285.841553,-258.032196,,,,,,,,,,,,,,,,,,,
122,1.016667,151.341919,348.07959,-200.556488,-162.400024,332.149872,-167.274612,-0.200281,1290.733521,-21.420137,12.303102,1285.835571,-258.038391,,,,,,,,,,,,,,,,,,,
123,1.025,151.341095,348.084412,-200.525558,-162.405258,332.14743,-167.271103,-0.201535,1290.745117,-21.417593,12.30142,1285.8302,-258.044708,,,,,,,,,,,,,,,,,,,
124,1.033333,151.339508,348.090149,-200.497055,-162.411819,332.14505,-167.266479,-0.205049,1290.757813,-21.415117,12.299085,1285.825317,-258.051147,,,,,,,,,,,,,,,,,,,
125,1.041667,151.337128,348.096527,-200.471283,-162.419632,332.142822,-167.260788,-0.211212,1290.771362,-21.412737,12.296581,1285.821045,-258.057739,,,,,,,,,,,,,,,,,,,
126,1.05,151.333954,348.10321,-200.448517,-162.428574,332.140625,-167.25415,-0.220375,1290.7854,-21.410482,12.294327,1285.817627,-258.064545,,,,,,,,,,,,,,,,,,,
127,1.058333,151.32991,348.109985,-200.429031,-162.438507,332.138458,-167.246704,-0.232726,1290.800171,-21.408348,12.292649,1285.814941,-258.071564,,,,,,,,,,,,,,,,,,,
128,1.066667,151.324799,348.116486,-200.413101,-162.449295,332.1362,-167.238663,-0.248232,1290.815063,-21.406254,12.291789,1285.81311,-258.078827,,,,,,,,,,,,,,,,,,,
129,1.075,151.318436,348.122528,-200.40097,-162.460861,332.133911,-167.23027,-0.266681,1290.8302,-21.404079,12.29189,1285.812134,-258.086304,,,,,,,,,,,,,,,,,,,
